Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Sunndalsøra Iii,SN63420,2012-06-07 04:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-07 05:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-07 05:45:00,7.7
Sunndalsøra Iii,SN63420,2012-06-07 06:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-07 06:45:00,8.1
Sunndalsøra Iii,SN63420,2012-06-07 07:15:00,8.5
Sunndalsøra Iii,SN63420,2012-06-07 07:45:00,11.0
Sunndalsøra Iii,SN63420,2012-06-07 08:15:00,13.5
Sunndalsøra Iii,SN63420,2012-06-07 08:45:00,13.9
Sunndalsøra Iii,SN63420,2012-06-07 09:15:00,14.3
Sunndalsøra Iii,SN63420,2012-06-07 09:45:00,14.6
Sunndalsøra Iii,SN63420,2012-06-07 10:15:00,14.9
Sunndalsøra Iii,SN63420,2012-06-07 10:45:00,15.3
Sunndalsøra Iii,SN63420,2012-06-07 11:15:00,15.7
Sunndalsøra Iii,SN63420,2012-06-07 11:45:00,16.1
Sunndalsøra Iii,SN63420,2012-06-07 12:15:00,16.5
Sunndalsøra Iii,SN63420,2012-06-07 12:45:00,17.2
Sunndalsøra Iii,SN63420,2012-06-07 13:15:00,18
Sunndalsøra Iii,SN63420,2012-06-07 13:45:00,18.1
Sunndalsøra Iii,SN63420,2012-06-07 14:15:00,18.3
Sunndalsøra Iii,SN63420,2012-06-07 14:45:00,18.3
Sunndalsøra Iii,SN63420,2012-06-07 15:15:00,18.3
Sunndalsøra Iii,SN63420,2012-06-07 15:45:00,18.5
Sunndalsøra Iii,SN63420,2012-06-07 16:15:00,18.6
Sunndalsøra Iii,SN63420,2012-06-07 16:45:00,18.4
Sunndalsøra Iii,SN63420,2012-06-07 17:15:00,18.2
Sunndalsøra Iii,SN63420,2012-06-07 17:45:00,17.9
Sunndalsøra Iii,SN63420,2012-06-07 18:15:00,17.6
Sunndalsøra Iii,SN63420,2012-06-07 18:45:00,17.4
Sunndalsøra Iii,SN63420,2012-06-07 19:15:00,17.1
Sunndalsøra Iii,SN63420,2012-06-07 19:45:00,16.3
Sunndalsøra Iii,SN63420,2012-06-07 20:15:00,15.5
Sunndalsøra Iii,SN63420,2012-06-07 20:45:00,14.7
Sunndalsøra Iii,SN63420,2012-06-07 21:15:00,13.8
Sunndalsøra Iii,SN63420,2012-06-07 21:45:00,13.6
Sunndalsøra Iii,SN63420,2012-06-07 22:15:00,13.4
Sunndalsøra Iii,SN63420,2012-06-07 22:45:00,12.9
Sunndalsøra Iii,SN63420,2012-06-07 23:15:00,12.4
Sunndalsøra Iii,SN63420,2012-06-07 23:45:00,11.9
Sunndalsøra Iii,SN63420,2012-06-08 00:15:00,11.5
Sunndalsøra Iii,SN63420,2012-06-08 00:45:00,11.1
Sunndalsøra Iii,SN63420,2012-06-08 01:15:00,10.7
Sunndalsøra Iii,SN63420,2012-06-08 01:45:00,9.6
Sunndalsøra Iii,SN63420,2012-06-08 02:15:00,8.4
Sunndalsøra Iii,SN63420,2012-06-08 02:45:00,8.6
Sunndalsøra Iii,SN63420,2012-06-08 03:15:00,8.8
Sunndalsøra Iii,SN63420,2012-06-08 03:45:00,8.9
Sunndalsøra Iii,SN63420,2012-06-08 04:15:00,8.9
Sunndalsøra Iii,SN63420,2012-06-08 04:45:00,9.2
Sunndalsøra Iii,SN63420,2012-06-08 05:15:00,9.4
Sunndalsøra Iii,SN63420,2012-06-08 05:45:00,9.4
Sunndalsøra Iii,SN63420,2012-06-08 06:15:00,9.5
Sunndalsøra Iii,SN63420,2012-06-08 06:45:00,9.6
Sunndalsøra Iii,SN63420,2012-06-08 07:15:00,9.7
Sunndalsøra Iii,SN63420,2012-06-08 07:45:00,9.8
Sunndalsøra Iii,SN63420,2012-06-08 08:15:00,10
Sunndalsøra Iii,SN63420,2012-06-08 08:45:00,10.2
Sunndalsøra Iii,SN63420,2012-06-08 09:15:00,10.4
Sunndalsøra Iii,SN63420,2012-06-08 09:45:00,10.6
Sunndalsøra Iii,SN63420,2012-06-08 10:15:00,10.8
Sunndalsøra Iii,SN63420,2012-06-08 10:45:00,11.4
Sunndalsøra Iii,SN63420,2012-06-08 11:15:00,12.1
Sunndalsøra Iii,SN63420,2012-06-08 11:45:00,12.6
Sunndalsøra Iii,SN63420,2012-06-08 12:15:00,13.1
Sunndalsøra Iii,SN63420,2012-06-08 12:45:00,13.4
Sunndalsøra Iii,SN63420,2012-06-08 13:15:00,13.7
Sunndalsøra Iii,SN63420,2012-06-08 13:45:00,13.6
Sunndalsøra Iii,SN63420,2012-06-08 14:15:00,13.6
Sunndalsøra Iii,SN63420,2012-06-08 14:45:00,13.8
Sunndalsøra Iii,SN63420,2012-06-08 15:15:00,14
Sunndalsøra Iii,SN63420,2012-06-08 15:45:00,14.8
Sunndalsøra Iii,SN63420,2012-06-08 16:15:00,15.6
Sunndalsøra Iii,SN63420,2012-06-08 16:45:00,15.9
Sunndalsøra Iii,SN63420,2012-06-08 17:15:00,16.2
Sunndalsøra Iii,SN63420,2012-06-08 17:45:00,16.2
Sunndalsøra Iii,SN63420,2012-06-08 18:15:00,16.3
Sunndalsøra Iii,SN63420,2012-06-08 18:45:00,16.1
Sunndalsøra Iii,SN63420,2012-06-08 19:15:00,16
Sunndalsøra Iii,SN63420,2012-06-08 19:45:00,15.9
Sunndalsøra Iii,SN63420,2012-06-08 20:15:00,15.9
Sunndalsøra Iii,SN63420,2012-06-08 20:45:00,14.7
Sunndalsøra Iii,SN63420,2012-06-08 21:15:00,13.5
Sunndalsøra Iii,SN63420,2012-06-08 21:45:00,13.4
Sunndalsøra Iii,SN63420,2012-06-08 22:15:00,13.3
Sunndalsøra Iii,SN63420,2012-06-08 22:45:00,12.6
Sunndalsøra Iii,SN63420,2012-06-08 23:15:00,11.9
Sunndalsøra Iii,SN63420,2012-06-08 23:45:00,11.7
Sunndalsøra Iii,SN63420,2012-06-09 00:15:00,11.5
Sunndalsøra Iii,SN63420,2012-06-09 00:45:00,11.2
Sunndalsøra Iii,SN63420,2012-06-09 01:15:00,10.9
Sunndalsøra Iii,SN63420,2012-06-09 01:45:00,10.8
Sunndalsøra Iii,SN63420,2012-06-09 02:15:00,10.7
Sunndalsøra Iii,SN63420,2012-06-09 02:45:00,10.4
Sunndalsøra Iii,SN63420,2012-06-09 03:15:00,10.1
Sunndalsøra Iii,SN63420,2012-06-09 03:45:00,10.1
Sunndalsøra Iii,SN63420,2012-06-09 04:15:00,10
Sunndalsøra Iii,SN63420,2012-06-09 04:45:00,9.9
Sunndalsøra Iii,SN63420,2012-06-09 05:15:00,9.9
Sunndalsøra Iii,SN63420,2012-06-09 05:45:00,10.1
Sunndalsøra Iii,SN63420,2012-06-09 06:15:00,10.3
Sunndalsøra Iii,SN63420,2012-06-09 06:45:00,10.6
Sunndalsøra Iii,SN63420,2012-06-09 07:15:00,10.9
Sunndalsøra Iii,SN63420,2012-06-09 07:45:00,11.2
Sunndalsøra Iii,SN63420,2012-06-09 08:15:00,11.6
Sunndalsøra Iii,SN63420,2012-06-09 08:45:00,12.6
Sunndalsøra Iii,SN63420,2012-06-09 09:15:00,13.6
Sunndalsøra Iii,SN63420,2012-06-09 09:45:00,13.8
Sunndalsøra Iii,SN63420,2012-06-09 10:15:00,14.1
Sunndalsøra Iii,SN63420,2012-06-09 10:45:00,14.4
Sunndalsøra Iii,SN63420,2012-06-09 11:15:00,14.7
Sunndalsøra Iii,SN63420,2012-06-09 11:45:00,15.8
Sunndalsøra Iii,SN63420,2012-06-09 12:15:00,16.8
Sunndalsøra Iii,SN63420,2012-06-09 12:45:00,17.0
Sunndalsøra Iii,SN63420,2012-06-09 13:15:00,17.2
Sunndalsøra Iii,SN63420,2012-06-09 13:45:00,17.2
