,Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
203,Sunndalsøra Iii,SN63420,2012-06-05 06:45:00,7.9
204,Sunndalsøra Iii,SN63420,2012-06-05 07:15:00,8
205,Sunndalsøra Iii,SN63420,2012-06-05 07:45:00,8.1
206,Sunndalsøra Iii,SN63420,2012-06-05 08:15:00,8.2
207,Sunndalsøra Iii,SN63420,2012-06-05 08:45:00,8.6
208,Sunndalsøra Iii,SN63420,2012-06-05 09:15:00,9
209,Sunndalsøra Iii,SN63420,2012-06-05 09:45:00,9.2
210,Sunndalsøra Iii,SN63420,2012-06-05 10:15:00,9.3
211,Sunndalsøra Iii,SN63420,2012-06-05 10:45:00,9.9
212,Sunndalsøra Iii,SN63420,2012-06-05 11:15:00,10.5
213,Sunndalsøra Iii,SN63420,2012-06-05 11:45:00,12.2
214,Sunndalsøra Iii,SN63420,2012-06-05 12:15:00,13.9
215,Sunndalsøra Iii,SN63420,2012-06-05 12:45:00,13.7
216,Sunndalsøra Iii,SN63420,2012-06-05 13:15:00,13.4
217,Sunndalsøra Iii,SN63420,2012-06-05 13:45:00,13.1
218,Sunndalsøra Iii,SN63420,2012-06-05 14:15:00,12.8
219,Sunndalsøra Iii,SN63420,2012-06-05 14:45:00,12.8
220,Sunndalsøra Iii,SN63420,2012-06-05 15:15:00,12.8
221,Sunndalsøra Iii,SN63420,2012-06-05 15:45:00,11.8
222,Sunndalsøra Iii,SN63420,2012-06-05 16:15:00,10.7
223,Sunndalsøra Iii,SN63420,2012-06-05 16:45:00,10.3
224,Sunndalsøra Iii,SN63420,2012-06-05 17:15:00,9.9
225,Sunndalsøra Iii,SN63420,2012-06-05 17:45:00,9.9
226,Sunndalsøra Iii,SN63420,2012-06-05 18:15:00,9.9
227,Sunndalsøra Iii,SN63420,2012-06-05 18:45:00,10.6
228,Sunndalsøra Iii,SN63420,2012-06-05 19:15:00,11.3
229,Sunndalsøra Iii,SN63420,2012-06-05 19:45:00,11.2
230,Sunndalsøra Iii,SN63420,2012-06-05 20:15:00,11
231,Sunndalsøra Iii,SN63420,2012-06-05 20:45:00,10.8
232,Sunndalsøra Iii,SN63420,2012-06-05 21:15:00,10.5
