RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K497001,2018-12-06,Sau,Spel,,2018-12-06,2018-12-06,Nei,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7030197,335978,7030197,335978,7034701,1295677,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498025,2018-10-07,Sau,Spel,,2018-09-07,2018-09-07,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7025448,331266,7025448,331266,7030009,1290902,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498026,2018-10-07,Sau,Spel,,2018-09-07,2018-09-07,Nei,Hunn,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7025441,331268,7025441,331268,7030002,1290904,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498043,2018-10-07,Sau,Spel,,2018-10-07,2018-10-07,Nei,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7026934,338284,7026934,338284,7031407,1297943,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498236,2018-07-19,Sau,Spel,,2018-07-18,2018-07-18,Nei,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7029972,637759,7031117,337799,7035598,1297510,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K497815,2018-03-07,Sau,Spel,,2018-03-07,2018-03-07,Nei,Hunn,Åring,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7031742,338319,7031742,338319,7036217,1298038,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K511497,2020-07-25,Sau,Spel,,2020-07-25,2020-07-25,Nei,Hunn,Åring,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7029420,639420,7030212,339298,7034674,1298998,ED50-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K511566,2020-07-28,Sau,Spel,,2020-07-25,2020-07-25,Nei,Hunn,Åring,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7030735,339886,7030735,339886,7035190,1299593,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472757,2016-01-10,Sau,Norsk kvit sau,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Innmark,1-5034,7026620,351961,7026620,351961,7030921,1311623,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472758,2016-01-10,Sau,Spel,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026628,352031,7026628,352031,7030928,1311693,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472759,2016-01-10,Sau,Norsk kvit sau,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026633,351982,7026633,351982,7030933,1311644,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472760,2016-01-10,Sau,Spel,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026660,351980,7026660,351980,7030961,1311642,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472761,2016-01-10,Sau,Spel,,2016-01-10,2016-01-10,Nei,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026677,351996,7026677,351996,7030977,1311658,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472762,2016-01-10,Sau,Spel,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026578,351984,7026578,351984,7030878,1311645,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472763,2016-01-10,Sau,Spel,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026577,351983,7026577,351983,7030877,1311644,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K472864,2016-03-10,Sau,Norsk kvit sau,,2016-01-10,2016-01-10,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Innmark,1-5034,7026640,352045,7026640,352045,7030940,1311707,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498532,2018-07-31,Sau,Norsk kvit sau,,2018-07-31,2018-07-31,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7021885,330395,7021885,330395,7026455,1289986,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K497395,2018-06-21,Sau,Norsk kvit sau,,2018-06-19,2018-06-19,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7039750,333482,7039750,333482,7044290,1293300,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K477491,2017-06-23,Sau,Spel,,2017-06-23,2017-06-23,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7024292,643084,7024964,342570,7029382,1302206,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K498649,2018-06-08,Sau,Spel,,2018-06-08,2018-06-08,Nei,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7025801,342256,7025801,342256,7030224,1301902,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K480436,2017-09-22,Sau,Norsk kvit sau,,2017-09-21,2017-09-21,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7037203,639358,7038167,340067,7042624,1299868,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K504089,2019-07-21,Sau,Norsk kvit sau,,2019-07-21,2019-07-21,Nei,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7048536,646451,7048787,348190,7053147,1308129,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K505233,2019-02-09,Sau,Norsk kvit sau,,2019-02-09,2019-02-09,Nei,Hann,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7049600,646000,7049889,347840,7054253,1307793,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
