RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke,latitude,longitude
K471427,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Hunn,Voksen,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010257,350523,7010257,350523,7014568,1309978,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.19034165128427,12.028827743305458
K471432,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010289,350473,7010289,350473,7014600,1309928,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.190607702587975,12.027806060318394
K471436,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Hunn,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010409,350354,7010409,350354,7014722,1309811,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.19163381017937,12.025334028355067
K471439,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010328,350490,7010328,350490,7014639,1309946,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.190964318816675,12.028107567929558
K471440,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7009751,351213,7009751,351213,7014053,1310662,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.186092158722495,12.042983977981619
K471442,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7010086,350980,7010086,350980,7014391,1310433,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.18899842838297,12.038053742353798
K470285,20.07.2016,Sau,Norsk kvit sau,,20.06.2016,10.07.2016,Ja,Hunn,Voksen,1,Dødt,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7023104,344747,7023104,344747,7027494,1304361,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.303030823098304,11.90189379899959
K470286,20.07.2016,Sau,Norsk kvit sau,,20.06.2016,10.07.2016,Ja,Hunn,Voksen,1,Dødt,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7023102,344747,7023102,344747,7027492,1304361,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.30301289954207,11.901895725484243
K471767,24.08.2016,Sau,Norsk kvit sau,,23.08.2016,24.08.2016,Nei,Hunn,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010332,350587,7010332,350587,7014642,1310043,WGS84-UTM Sone 33,Mindre god,Meråker (N),1-50,Trøndelag (N),63.19104044235487,12.030028911368815
K471768,24.08.2016,Sau,Norsk kvit sau,,23.08.2016,24.08.2016,Nei,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010502,350333,7010502,350333,7014815,1309791,WGS84-UTM Sone 33,Mindre god,Meråker (N),1-50,Trøndelag (N),63.19245863336325,12.024831648089839
