individual,first_date,last_date,nr_data_points
97412,2021-05-28 14:42:08,2021-10-10 11:12:55,643
97413,2021-05-28 15:42:07,2021-10-23 18:23:06,439
97414,2021-05-28 15:47:08,2021-10-01 02:35:08,505
97417,2021-05-28 14:37:55,2021-10-09 18:35:31,478
97418,2021-05-28 15:00:01,2021-10-20 10:33:38,724
97420,2021-05-28 14:13:37,2021-10-09 18:35:57,424
97421,2021-05-28 14:55:36,2021-10-17 12:51:22,664
97425,2021-05-28 14:19:07,2021-10-15 12:36:37,458
97429,2021-05-28 14:08:55,2021-10-11 02:36:07,600
97430,2021-05-28 15:01:37,2021-10-15 12:31:07,672
97432,2021-05-28 14:40:25,2021-10-10 10:36:37,414
97433,2021-05-28 15:05:31,2021-10-21 14:35:36,617
97435,2021-05-28 14:10:38,2021-07-05 05:24:07,107
97436,2021-05-28 14:15:37,2021-10-09 17:13:37,501
97440,2021-05-28 14:36:07,2021-10-02 07:41:37,427
97442,2021-05-28 15:40:08,2021-10-26 18:36:34,481
97445,2021-05-28 14:23:07,2021-10-05 15:09:54,528
97447,2021-05-28 14:05:37,2021-10-26 06:37:36,610
97450,2021-05-19 17:16:07,2021-10-07 13:19:37,545
97453,2021-05-28 16:57:31,2021-11-22 22:28:01,519
97454,2021-05-28 14:17:09,2021-11-02 14:24:07,543
97457,2021-05-28 15:03:31,2021-10-14 07:40:36,624
97458,2021-05-28 14:07:07,2021-09-06 18:27:36,356
97461,2021-05-28 14:58:07,2021-10-18 06:36:37,428
97470,2021-05-28 15:07:07,2021-11-10 10:43:07,510
97474,2021-05-28 15:45:25,2021-09-26 10:36:02,372
