RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K498602,05.08.2018,Sau,Norsk kvit sau,,01.08.2018,01.08.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7025044,337642,7025044,337642,7029524,1297277,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498378,25.07.2018,Sau,Norsk kvit sau,,25.07.2018,25.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028959,340375,7028959,340375,7033407,1300060,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K470687,01.08.2016,Sau,,,30.07.2016,31.07.2016,Nei,Hunn,Åring,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7027540,635510,7028906,335332,7033417,1295014,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K478679,30.07.2017,Sau,Norsk kvit sau,,30.07.2017,30.07.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027423,640116,7028359,339907,7032812,1299585,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K479520,15.08.2017,Sau,Norsk kvit sau,,15.07.2017,30.07.2017,Ja,Hunn,Voksen,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7028904,639495,7029891,339427,7034352,1299124,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K473389,05.10.2016,Sau,Norsk kvit sau,,15.08.2016,10.09.2016,Ja,Hunn,Voksen,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7025353,337528,7025353,337528,7029835,1297166,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K523433,18.07.2022,Sau,Norsk kvit sau,,01.07.2022,10.07.2022,Ja,Hunn,Voksen,1,Skadd og avlivet,Ukjent,Usikker,Utmark,1-5034,7027860,340890,7027860,340890,7032301,1300562,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K511923,11.08.2020,Sau,Spel,,09.08.2020,10.08.2020,Ja,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7034706,341174,7034706,341174,7039147,1300932,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512036,15.08.2020,Sau,Spel,,13.08.2020,14.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035922,341303,7035922,341303,7040362,1301076,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512687,09.09.2020,Sau,Spel,,05.09.2020,07.09.2020,Ja,Hann,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035249,341508,7035249,341508,7039686,1301273,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512768,14.09.2020,Sau,Spel,,11.09.2020,12.09.2020,Ja,Hann,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7035414,339287,7035414,339287,7039879,1299053,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K504149,23.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7034102,640884,7034937,341296,7039376,1301057,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K478200,15.07.2017,Sau,Spel,,12.07.2017,13.07.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7042230,641430,7042979,342600,7047406,1302463,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K498723,08.08.2018,Sau,Norsk kvit sau,,05.08.2018,06.08.2018,Ja,Hann,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7038149,347692,7038149,347692,7042509,1307497,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503163,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040924,343903,7040924,343903,7045333,1303741,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503164,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7041068,343817,7041068,343817,7045479,1303657,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503165,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7041007,343852,7041007,343852,7045417,1303691,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503166,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7041024,343835,7041024,343835,7045434,1303674,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503167,19.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040992,343852,7040992,343852,7045402,1303691,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503168,19.06.2019,Sau,Spel,,18.06.2019,18.06.2019,Nei,Hunn,Åring,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040947,343788,7040947,343788,7045358,1303626,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503179,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042624,343121,7042624,343121,7047044,1302980,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503180,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042625,343125,7042625,343125,7047045,1302984,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503181,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7042637,343134,7042637,343134,7047057,1302993,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
